centro_codigo,centro_nombre,centro_tipo_descripcion,centro_titularidad,direccion_via_tipo,direccion_via_nombre,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,municipio_wikidata,url_colegio,direccion_coor_x,direccion_coor_y
28010898,LEOPOLDO ALAS,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Pedrezuela,18,28017,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.leopoldoalas.madrid,-3.653408862,40.42823652
28010916,PALACIO VALDES,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO,del Prado,38,28014,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.palaciovaldes.madrid,-3.692944479,40.4105558
28010928,REPUBLICA DE PANAMA Nº 1,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de los Peones,s/n,28037,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.panama.madrid,-3.616997501,40.42618431
28010931,PATRIARCA OBISPO EIJO GARAY,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de López de Hoyos,40,28006,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.eijogaray.madrid,-3.68153425,40.43960569
28010941,RAMON GOMEZ DE LA SERNA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Godella,170,28021,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.gomezdelaserna.madrid,-3.689760523,40.33991638
28010953,REAL ARMADA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Corregidor Juan Francisco de Luján,114,28030,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.realarmada.madrid,-3.645574394,40.40164974
28010965,REPUBLICA DE COLOMBIA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PLAZA,de Alloz,3,28025,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.colombia.madrid,-3.73691805,40.37601339
28010977,REPUBLICA DE CHILE,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,del Castillo de Uclés,28,28037,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.chile.madrid,-3.624970861,40.42791627
28010989,REPUBLICA DE EL SALVADOR,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CMNO,de Sacedón,2,28021,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.elsalvador.madrid,-3.697911006,40.34936314
28010990,SAN CRISTOBAL,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Bravo Murillo,39,28015,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.sancristobal.madrid,-3.705240837,40.4368689
28011015,SAN JUAN BOSCO,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Santa Irene,2,28017,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.sanjuanbosco.madrid,-3.652606186,40.41959237
28011040,VAZQUEZ DE MELLA,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE,de Bailén,18,28005,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cp.vazquezdemella.madrid,-3.713998623,40.41210338
28011091,AFUERA III A,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO,CALLE,de Francisco Vitoria,16,28007,079,Madrid,https://wikidata.org/entity/Q2807,http://www.colegioafuera,-3.673045481,40.4077454
28011209,PATROCINIO DE MARIA,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Umbría,31,28043,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cc.patrociniodemaria.madrid,-3.64791099,40.45481705
28011246,AMOR DE DIOS,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE,de Gutiérrez Canales,15,28022,079,Madrid,https://wikidata.org/entity/Q2807,http://www.educa.madrid.org/cc.amordedios.madrid,-3.61440207,40.447991
